Open,High,Low,Close,Volume,MA_10,MA_50,Target
107.47671317232125,166.41806680742883,133.64680616369685,127.76416208874194,169144,134.56782924089674,152.15357629664675,1
117.67343428204978,128.03502027176646,184.25631791399618,132.62319153675236,81071,177.9363066290544,146.25699735770627,1
152.82389240441432,185.58741739991552,125.86031393233453,128.26971680614474,152225,199.46599915689657,187.8212508342155,1
103.35958566348437,185.19840832662487,180.77309429928718,131.2705284412478,172700,101.36878594346608,176.46555442714043,0
151.2707251205133,172.00137344525555,188.1897563979995,168.7737436941811,195696,169.47540275691608,114.53874307739832,0
109.33784552701917,189.8572924081727,148.52969463086728,166.1403776632361,172411,152.1731611272714,176.18073624336165,1
177.15808170886226,152.69451283777676,151.34845093751906,129.6676439981236,22543,172.98354991661094,148.04457942201628,0
106.56544505019244,108.21018888628619,169.32354603488224,114.15859956608708,191694,193.50311522767979,127.83117170591368,1
175.78134439795338,159.31875216285948,188.86295133352021,138.11904532787557,165143,188.89222478293294,171.3328734642394,1
194.89020333621175,178.65514133740214,115.52210922254119,152.83412615745965,104680,160.71060341324147,104.03231209172384,1
160.59850063782204,184.3622888682414,114.88726995958521,165.2486211704954,151470,137.32198149047957,156.3512582226225,0
113.56667557990635,180.8022203890507,191.54199011159318,189.00338267678535,45398,182.54497379999145,165.94955087845503,0
146.11037547653464,180.7917438323779,131.47941745206407,148.64258889333942,82204,123.0752166595769,127.57216424641831,0
131.5961795897669,131.03115125631533,115.22215392820101,152.14089561690932,197367,125.11559918466197,152.39388376768554,0
198.84197495326953,164.0753235068422,191.64139215011448,120.08879525320086,199963,128.11678002853444,108.46610762817164,1
144.33402266072852,103.0275343199915,133.14736084121785,197.6116561111088,136978,194.56155922170382,175.06439309738084,0
133.05537676625,122.6456859798005,125.77563387674068,171.14063232166092,198589,189.4307026206864,107.18898885111813,1
190.7556188858259,107.44376899385611,149.8446478051278,127.16030973766772,148320,197.31623684635485,130.3237161673493,0
105.705092378659,171.44598582966938,144.91891631372616,101.97834645028671,142096,129.6623385111589,145.01295818668515,0
134.3910893385987,189.87149289975883,195.9206432432779,124.28432363240456,81965,181.24500504099035,101.43123853886652,0
152.69953426369642,190.63784824142255,116.43077027604551,176.6916941605238,74368,140.86075991144293,199.62643918067454,0
143.43847230555394,114.2136372381125,112.86321425049933,139.91607238959256,84889,122.40093548355038,120.60292686981046,1
138.46061257604265,145.51098157262678,178.57153984455869,144.8277458250405,13779,105.81015339041726,109.21774505560848,1
